events,unosc
0,1.214381899
0,5.622306391
1,11.77215522
9,18.36411225
2,27.2179448
12,38.10249543
32,51.19882744
40,64.91880229
25,80.03030054
19,97.50418953
21,120.8461503
5,145.7879126
11,152.757658
8,131.592428
10,100.0895231
5,73.63209608
11,54.60231744
10,39.48028161
11,26.47861379
5,17.63748553
5,12.19992341
8,9.286099702
5,7.642496278
12,6.219104848
4,5.240449918
3,4.655093059
3,4.070456344
9,3.511186184
2,3.255691478
2,2.809253489
5,2.610696627
4,2.391125442
1,2.177055785
2,1.999591704
3,1.923572126
3,1.756870669
7,1.649940915
4,1.56213126
4,1.523336371
5,1.412605258
5,1.384416271
3,1.279259769
1,1.20698624
2,1.166649267
2,1.157969344
4,1.123863599
3,1.07388241
3,1.008928377
4,1.004606505
5,0.982700051
4,1.005035342
2,0.936589682
7,0.930199929
2,0.943187832
2,0.93619016
0,0.892216658
5,0.912078877
4,0.911334279
3,0.891534043
6,0.91460231
3,0.90674946
4,0.897504218
7,0.903801328
5,0.891902508
10,0.876888213
5,0.871174903
6,0.88346685
2,0.870922224
6,0.876190632
7,0.894713569
6,0.859153942
5,0.891434355
2,0.887269827
7,0.894383751
2,0.901563092
3,0.898895114
4,0.906649078
7,0.916781977
8,0.917355507
8,0.921224756
3,0.910374528
5,0.914954782
10,0.921574401
8,0.911906442
5,0.888837503
10,0.890498272
7,0.89026236
8,0.856216028
3,0.8429036
5,0.821111556
4,0.812439271
3,0.794810402
2,0.782643325
4,0.756659256
2,0.745177574
3,0.709482413
4,0.701095691
3,0.676372658
1,0.663400542
6,0.635528
4,0.612945705
5,0.592194094
3,0.554118506
2,0.535397253
1,0.513405398
3,0.475550072
1,0.478169454
4,0.450248403
8,0.423958408
3,0.396119604
3,0.382623777
2,0.35831866
2,0.353203615
4,0.341468196
2,0.316178928
1,0.304193518
5,0.282894784
1,0.291984476
2,0.259366961
0,0.259872926
1,0.243090083
1,0.237369983
3,0.224301189
2,0.222068978
3,0.210288551
0,0.203963805
1,0.194529536
3,0.186922196
3,0.183464234
4,0.177203245
1,0.166013501
2,0.170406327
1,0.159915627
2,0.151693315
1,0.148686899
1,0.149625547
1,0.137575848
6,0.13089846
1,0.130024528
3,0.124036472
0,0.124423287
2,0.119853439
6,0.112729739
0,0.106659326
1,0.109355479
0,0.105483093
1,0.102380629
0,0.095279727
0,0.093278248
0,0.090511125
0,0.088201243
0,0.087021886
2,0.082493436
1,0.084216365
1,0.078956456
1,0.075254402
0,0.068636994
1,0.071620776
2,0.064188933
0,0.067452317
1,0.065641934
2,0.06297574
1,0.06379705
0,0.061139148
1,0.05391862
4,0.056833038
0,0.053031024
3,0.050726545
3,0.050015851
0,0.053271108
0,0.04463483
0,0.047308181
0,0.043396038
1,0.044226747
0,0.042559335
1,0.042034248
2,0.041072204
1,0.037292585
0,0.032875033
0,0.033201662
1,0.036388463
0,0.032332566
1,0.032836174
0,0.028687744
2,0.029432911
0,0.029138828
0,0.028565418
0,0.028253304
0,0.025115336
0,0.024720518
0,0.024118419
1,0.026707514
0,0.021739934
1,0.023491686
1,0.020074197
0,0.02392712
0,0.022551968
0,0.019609803
0,0.018910212
0,0.020150185
